Song,Act,Streams (millions)
Dynamite,BTS,1792.7
Seven,Jungkook,1335.7
Butter,BTS,1210.7
My Universe,BTS,1189.2
Boy with Luv,BTS,1121.5
Money,Lisa,1105.4
How You Like That,Blackpink,956.0
Left and Right,Jungkook,870.4
Like Crazy,Jimin,833.2
Kill This Love,Blackpink,783.0
Cupid - Twin Version,Fifty Fifty,776.5
Fake Love,BTS,740.8
Life Goes On,BTS,681.0
DDU-DU DDU-DU,Blackpink,671.1
Pink Venom,Blackpink,660.0
Permission to Dance,BTS,648.1
Kiss and Make Up,Blackpink,612.6
DNA,BTS,609.7
Shut Down,Blackpink,595.7
OMG,NewJeans,594.1
Solo,Jennie,578.3
As If It's Your Last,Blackpink,554.9
Euphoria,BTS,553.5
Ice Cream,Blackpink,553.1
Ditto,NewJeans,540.1
Blood, Sweat and Tears,BTS,538.3
Lovesick Girls,Blackpink,524.3
Boombayah,Blackpink,506.5
Hype Boy,NewJeans,475.7
Spring Day,BTS,466.0
Fancy,Twice,445.7
Gangnam Style,PSY,445.0
Psycho,Red Velvet,444.0
Black Swan,BTS,439.7
Lalisa,Lisa,438.6
Idol,BTS,437.5
On,BTS,434.2
Super Shy,NewJeans,426.9
Filter,BTS,418.6
What is Love?,Twice,407.2
Pretty Savage,Blackpink,404.1
Playing with Fire,Blackpink,403.2
One of the Girls,Jennie,400.3
Run BTS,BTS,398.5
The Feels,Twice,396.3
Antifragile,LE SSERAFIM,394.4
Dreamers,Jungkook,393.8
3D,Jungkook,381.8
On the Ground,Rosé,379.7
Christmas Tree,V,377.1
Love Me Again,V,371.3
Flower,Jisoo,369.2
Love Dive,IVE,363.6
Whistle,Blackpink,362.1
I Can't Stop Me,Twice,362.1
Sweet Night,V,360.7
Sour Candy,Blackpink,349.7
I Need U,BTS,345.3
The Truth Untold,BTS,345.0
Go Go,BTS,344.4
Wannabe,ITZY,344.2
Standing Next To You,Jungkook,340.8
Feel Special,Twice,340.5
Attention,NewJeans,339.9
Love Shot,EXO,339.4
Pop/stars,K/DA,336.5
Love Scenario,iKon,334.9
The Astronaut,Jin,334.5
Fire,BTS,329.8
After Like,IVE,329.5
Yet To Come,BTS,329.4
Magic Shop,BTS,328.5
Dope,BTS,328.3
Pied Piper,BTS,327.7
God's Menu,Stray Kids,322.6
Dimple,BTS,321.4
Forever Young,Blackpink,317.4
Airplane Pt. 2,BTS,317.3
Typa Girl,Blackpink,315.5
Mikrokosmos,BTS,310.3
Save Me,BTS,309.0
Anpanman,BTS,309.0
Mic Drop (Steve Aoki Remix),BTS,306.6
Fever,Enhypen,305.6
Gone,Rosé,303.0
Home,BTS,300.3
Stay with Me,Punch and Chanyeol,299.5
Who,BTS,298.5
Like Crazy (English Version),Jimin,296.9
Make It Right,BTS,295.3
Singularity,BTS,290.9
Only,LeeHi,290.1
Daechwita,Agust D (SUGA),287.9
Eleven,IVE,284
eight,IU and SUGA,283.6
Slow Dancing,V,283.4
Stay Alive,Jungkook,282.8
Don't Know What To Do,Blackpink,280.1
Fearless,LE SSERAFIM,279.2
Bad Boy,Red Velvet,277.8